x,y,theta,kappa
0,0,0,2
0.099062,0.0098134,0.19559,1.8878
0.19531,0.038147,0.3724,1.6163
0.28594,0.08176,0.51948,1.3083
0.36906,0.13621,0.63586,1.0416
0.44656,0.19942,0.729,0.82978
0.51844,0.26878,0.8035,0.66907
0.5852,0.34246,0.86375,0.54822
0.64797,0.41986,0.91358,0.456
0.70782,0.501,0.95579,0.38413
0.76422,0.58404,0.99143,0.32822
0.81789,0.66895,1.0221,0.28379
0.86934,0.75575,1.0489,0.24786
0.91791,0.84256,1.072,0.21891
0.96502,0.93125,1.0928,0.19473
1.0099,1.02,1.1111,0.17469
1.0538,1.1105,1.1278,0.15753
1.096,1.2011,1.1428,0.14302
1.1365,1.2917,1.1563,0.1306
1.1765,1.3842,1.1689,0.11967
1.2152,1.4766,1.1804,0.11019
1.2526,1.5691,1.191,0.10189
1.289,1.6616,1.2008,0.09459
1.3244,1.7541,1.2098,0.088119
1.3596,1.8484,1.2184,0.082243
1.3938,1.9428,1.2264,0.076992
1.4273,2.0371,1.2338,0.072277
1.46,2.1315,1.2408,0.068024
1.4919,2.2259,1.2474,0.064173
1.5232,2.3202,1.2536,0.060671
1.5539,2.4146,1.2595,0.057477
1.584,2.5089,1.265,0.054554
1.6141,2.6052,1.2704,0.051819
1.6436,2.7014,1.2755,0.049305
1.6726,2.7977,1.2803,0.046988
1.7011,2.8939,1.2849,0.044847
1.7292,2.9901,1.2893,0.042864
1.7568,3.0864,1.2935,0.041023
1.784,3.1826,1.2975,0.03931
1.8108,3.2789,1.3014,0.037713
1.8371,3.3751,1.3051,0.036221
1.8632,3.4714,1.3086,0.034825
1.8888,3.5676,1.312,0.033516
1.9141,3.6638,1.3153,0.032287
1.9391,3.7601,1.3184,0.031132
1.9638,3.8563,1.3215,0.030044
1.9881,3.9526,1.3244,0.029018
2.0122,4.0488,1.3272,0.028049
2.0359,4.1451,1.33,0.027133
2.0594,4.2413,1.3326,0.026265
2.0827,4.3376,1.3352,0.025443
2.1061,4.4357,1.3377,0.024648
2.1293,4.5338,1.3402,0.023894
2.1522,4.6319,1.3425,0.023177
2.1749,4.73,1.3448,0.022495
2.1973,4.8282,1.3471,0.021846
2.2195,4.9263,1.3492,0.021228
2.2415,5.0244,1.3513,0.020639
2.2633,5.1225,1.3534,0.020076
2.2849,5.2207,1.3554,0.019538
2.3062,5.3188,1.3573,0.019024
2.3274,5.4169,1.3592,0.018532
2.3484,5.515,1.361,0.018061
2.3692,5.6131,1.3628,0.017609
2.3898,5.7113,1.3646,0.017176
2.4103,5.8094,1.3663,0.016761
2.4305,5.9075,1.3679,0.016362
2.4506,6.0056,1.3695,0.015978
2.4706,6.1038,1.3711,0.01561
2.4904,6.2019,1.3727,0.015255
2.51,6.3,1.3742,0.014913
2.5295,6.3981,1.3756,0.014584
2.5488,6.4963,1.3771,0.014267
2.568,6.5944,1.3785,0.013962
2.587,6.6925,1.3799,0.013667
2.6059,6.7906,1.3812,0.013382
2.6246,6.8887,1.3825,0.013107
2.6433,6.9869,1.3838,0.012841
2.6618,7.085,1.3851,0.012585
2.6801,7.1831,1.3864,0.012336
2.6984,7.2812,1.3876,0.012096
2.7165,7.3794,1.3888,0.011863
2.7345,7.4775,1.3899,0.011638
2.7524,7.5756,1.3911,0.01142
2.7701,7.6737,1.3922,0.011208
2.7878,7.7719,1.3933,0.011003
2.8053,7.87,1.3944,0.010805
2.8228,7.9681,1.3955,0.010612
2.8401,8.0662,1.3965,0.010424
2.8573,8.1643,1.3976,0.010243
2.8745,8.2625,1.3986,0.010066
2.8915,8.3606,1.3996,0.0098944
2.9084,8.4587,1.4005,0.0097277
2.9252,8.5568,1.4015,0.0095656
2.9419,8.655,1.4024,0.0094079
2.9586,8.7531,1.4034,0.0092545
2.9751,8.8512,1.4043,0.0091052
2.9915,8.9493,1.4052,0.0089599
3.0079,9.0475,1.4061,0.0088185
3.0242,9.1456,1.4069,0.0086807
3.0403,9.2437,1.4078,0.0085465
3.0564,9.3418,1.4086,0.0084157
3.0725,9.44,1.4095,0.0082882
3.0884,9.5381,1.4103,0.0081638
3.1042,9.6362,1.4111,0.0080426
3.12,9.7343,1.4119,0.0079243
3.1357,9.8324,1.4127,0.0078089
3.1513,9.9306,1.4134,0.0076963
3.1668,10.029,1.4142,0.0075864
3.1823,10.127,1.4149,0.007479
3.1976,10.225,1.4157,0.0073742
3.213,10.323,1.4164,0.0072717
3.2282,10.421,1.4171,0.0071717
3.2433,10.519,1.4178,0.0070739
3.2584,10.617,1.4185,0.0069783
3.2735,10.716,1.4192,0.0068848
3.2884,10.814,1.4199,0.0067935
3.3033,10.912,1.4206,0.0067041
3.3181,11.01,1.4212,0.0066166
3.3329,11.108,1.4219,0.0065311
3.3476,11.206,1.4225,0.0064473
3.3622,11.304,1.4232,0.0063654
3.3767,11.402,1.4238,0.0062851
3.3912,11.501,1.4244,0.0062066
3.4057,11.599,1.425,0.0061296
3.4201,11.697,1.4256,0.0060543
3.4344,11.795,1.4262,0.0059805
3.4486,11.893,1.4268,0.0059081
3.4628,11.991,1.4274,0.0058372
3.477,12.089,1.428,0.0057677
3.491,12.187,1.4285,0.0056996
3.5051,12.286,1.4291,0.0056328
3.519,12.384,1.4297,0.0055673
3.533,12.482,1.4302,0.0055031
3.5468,12.58,1.4307,0.0054401
3.5606,12.678,1.4313,0.0053783
3.5744,12.776,1.4318,0.0053176
3.5881,12.874,1.4323,0.0052581
3.6017,12.972,1.4329,0.0051997
3.6153,13.071,1.4334,0.0051423
3.6289,13.169,1.4339,0.005086
3.6424,13.267,1.4344,0.0050307
3.6558,13.365,1.4349,0.0049764
3.6692,13.463,1.4354,0.0049231
3.6825,13.561,1.4358,0.0048707
3.6958,13.659,1.4363,0.0048193
3.7091,13.757,1.4368,0.0047687
3.7223,13.856,1.4373,0.0047191
3.7355,13.954,1.4377,0.0046703
3.7487,14.053,1.4382,0.0046218
3.7619,14.152,1.4387,0.0045742
3.775,14.251,1.4391,0.0045274
3.7881,14.35,1.4396,0.0044814
3.8012,14.449,1.44,0.0044362
3.8142,14.548,1.4405,0.0043917
3.8272,14.647,1.4409,0.004348
3.8401,14.746,1.4413,0.004305
3.8529,14.845,1.4417,0.0042627
3.8658,14.944,1.4422,0.004221
3.8786,15.043,1.4426,0.0041801
3.8913,15.142,1.443,0.0041398
3.904,15.241,1.4434,0.0041002
3.9167,15.341,1.4438,0.0040612
3.9293,15.44,1.4442,0.0040228
3.9419,15.539,1.4446,0.003985
3.9545,15.638,1.445,0.0039477
3.967,15.737,1.4454,0.0039111
3.9794,15.836,1.4458,0.003875
3.9919,15.935,1.4462,0.0038395
4.0042,16.034,1.4466,0.0038045
4.0166,16.133,1.4469,0.0037701
4.0289,16.232,1.4473,0.0037361
4.0412,16.331,1.4477,0.0037027
4.0534,16.43,1.4481,0.0036698
4.0656,16.529,1.4484,0.0036373
4.0778,16.628,1.4488,0.0036053
4.0899,16.727,1.4491,0.0035738
4.102,16.826,1.4495,0.0035428
4.1141,16.926,1.4499,0.0035122
4.1261,17.025,1.4502,0.003482
4.1381,17.124,1.4506,0.0034523
4.15,17.223,1.4509,0.0034229
4.1619,17.322,1.4512,0.003394
4.1738,17.421,1.4516,0.0033655
4.1857,17.52,1.4519,0.0033374
4.1975,17.619,1.4522,0.0033097
4.2093,17.718,1.4526,0.0032824
4.221,17.817,1.4529,0.0032554
4.2327,17.916,1.4532,0.0032288
4.2444,18.015,1.4535,0.0032026
4.2561,18.114,1.4539,0.0031767
4.2677,18.213,1.4542,0.0031512
4.2793,18.312,1.4545,0.003126
4.2909,18.411,1.4548,0.0031011
4.3024,18.511,1.4551,0.0030766
4.3139,18.61,1.4554,0.0030524
4.3253,18.709,1.4557,0.0030285
4.3368,18.808,1.456,0.0030049
4.3482,18.907,1.4563,0.0029817
4.3596,19.006,1.4566,0.0029587
4.3709,19.105,1.4569,0.002936
4.3822,19.204,1.4572,0.0029136
4.3935,19.303,1.4575,0.0028915
4.4048,19.402,1.4578,0.0028696
4.416,19.501,1.4581,0.0028481
4.4272,19.6,1.4583,0.0028268
4.4384,19.699,1.4586,0.0028058
4.4495,19.798,1.4589,0.002785
4.4606,19.897,1.4592,0.0027645
4.4717,19.996,1.4594,0.0027442
4.4828,20.095,1.4597,0.0027242
4.4938,20.195,1.46,0.0027044
4.5048,20.294,1.4603,0.0026849
4.5158,20.393,1.4605,0.0026656
4.5268,20.492,1.4608,0.0026465
4.5377,20.591,1.4611,0.0026277
4.5486,20.69,1.4613,0.002609
4.5595,20.789,1.4616,0.0025906
4.5703,20.888,1.4618,0.0025724
4.5812,20.987,1.4621,0.0025545
4.592,21.086,1.4623,0.0025367
4.6027,21.185,1.4626,0.0025191
4.6135,21.284,1.4628,0.0025018
4.6242,21.383,1.4631,0.0024846
4.6349,21.482,1.4633,0.0024676
4.6456,21.581,1.4636,0.0024508
4.6562,21.68,1.4638,0.0024343
4.6669,21.78,1.4641,0.0024179
4.6775,21.879,1.4643,0.0024016
4.688,21.978,1.4645,0.0023856
4.6986,22.077,1.4648,0.0023697
4.7091,22.176,1.465,0.0023541
4.7196,22.275,1.4652,0.0023386
4.7301,22.374,1.4655,0.0023232
4.7406,22.473,1.4657,0.002308
4.751,22.572,1.4659,0.002293
4.7614,22.671,1.4662,0.0022782
4.7718,22.77,1.4664,0.0022635
4.7822,22.869,1.4666,0.0022489
4.7925,22.968,1.4668,0.0022346
4.8028,23.067,1.4671,0.0022203
4.8132,23.166,1.4673,0.0022063
4.8234,23.265,1.4675,0.0021923
4.8337,23.365,1.4677,0.0021786
4.8439,23.464,1.4679,0.0021649
4.8541,23.563,1.4682,0.0021514
4.8643,23.662,1.4684,0.0021381
4.8745,23.761,1.4686,0.0021249
4.8847,23.86,1.4688,0.0021118
4.8948,23.959,1.469,0.0020988
4.9049,24.058,1.4692,0.002086
4.915,24.157,1.4694,0.0020733
4.925,24.256,1.4696,0.0020608
4.9351,24.355,1.4698,0.0020483
4.9451,24.454,1.47,0.002036
4.9551,24.553,1.4702,0.0020238
4.9651,24.652,1.4704,0.0020118
4.9751,24.751,1.4706,0.0019998
4.985,24.85,1.4708,0.001988
4.995,24.95,1.471,0.0019763
5.0049,25.049,1.4712,0.0019647
5.0147,25.148,1.4714,0.0019532
5.0246,25.247,1.4716,0.0019418
5.0345,25.346,1.4718,0.0019306
5.0443,25.445,1.472,0.0019194
5.0541,25.544,1.4722,0.0019084
5.0639,25.643,1.4724,0.0018974
5.0737,25.742,1.4726,0.0018866
5.0834,25.841,1.4728,0.0018759
5.0931,25.94,1.4729,0.0018652
5.1029,26.039,1.4731,0.0018547
5.1126,26.138,1.4733,0.0018443
5.1222,26.237,1.4735,0.0018339
5.1319,26.336,1.4737,0.0018237
5.1415,26.435,1.4739,0.0018135
5.1512,26.535,1.474,0.0018035
5.1608,26.634,1.4742,0.0017935
5.1704,26.733,1.4744,0.0017837
5.1799,26.832,1.4746,0.0017739
5.1895,26.931,1.4747,0.0017642
5.199,27.03,1.4749,0.0017546
5.2085,27.129,1.4751,0.0017451
5.218,27.228,1.4753,0.0017357
5.2275,27.327,1.4754,0.0017263
5.237,27.426,1.4756,0.001717
5.2464,27.525,1.4758,0.0017079
5.2559,27.624,1.476,0.0016988
5.2653,27.723,1.4761,0.0016898
5.2747,27.822,1.4763,0.0016808
5.2841,27.921,1.4765,0.001672
5.2934,28.02,1.4766,0.0016632
5.3028,28.12,1.4768,0.0016545
5.3121,28.219,1.4769,0.0016459
5.3214,28.318,1.4771,0.0016373
5.3307,28.417,1.4773,0.0016288
5.34,28.516,1.4774,0.0016204
5.3493,28.615,1.4776,0.0016121
5.3585,28.714,1.4778,0.0016038
5.3678,28.813,1.4779,0.0015956
5.377,28.912,1.4781,0.0015875
5.3862,29.011,1.4782,0.0015794
5.3954,29.11,1.4784,0.0015715
5.4046,29.209,1.4785,0.0015635
5.4137,29.308,1.4787,0.0015557
5.4229,29.407,1.4789,0.0015479
5.432,29.506,1.479,0.0015402
5.4411,29.605,1.4792,0.0015325
5.4502,29.705,1.4793,0.0015249
5.4593,29.804,1.4795,0.0015174
5.4683,29.903,1.4796,0.0015099
5.4774,30.002,1.4798,0.0015025
5.4864,30.101,1.4799,0.0014952
5.4954,30.2,1.4801,0.0014879
5.5044,30.299,1.4802,0.0014806
5.5134,30.398,1.4804,0.0014735
5.5224,30.497,1.4805,0.0014663
5.5314,30.596,1.4806,0.0014593
5.5403,30.695,1.4808,0.0014523
5.5493,30.794,1.4809,0.0014453
5.5582,30.893,1.4811,0.0014384
5.5671,30.992,1.4812,0.0014316
5.576,31.091,1.4814,0.0014248
5.5848,31.19,1.4815,0.0014181
5.5937,31.29,1.4816,0.0014114
5.6026,31.389,1.4818,0.0014048
5.6114,31.488,1.4819,0.0013982
5.6202,31.587,1.4821,0.0013917
5.629,31.686,1.4822,0.0013852
5.6378,31.785,1.4823,0.0013788
5.6466,31.884,1.4825,0.0013724
5.6553,31.983,1.4826,0.0013661
5.6641,32.082,1.4827,0.0013598
5.6728,32.181,1.4829,0.0013536
5.6816,32.28,1.483,0.0013474
5.6903,32.379,1.4832,0.0013413
5.699,32.478,1.4833,0.0013352
5.7077,32.577,1.4834,0.0013292
5.7163,32.676,1.4835,0.0013232
5.725,32.775,1.4837,0.0013172
5.7336,32.875,1.4838,0.0013113
5.7423,32.974,1.4839,0.0013055
5.7509,33.073,1.4841,0.0012997
5.7595,33.172,1.4842,0.0012939
5.7681,33.271,1.4843,0.0012882
5.7767,33.37,1.4845,0.0012825
5.7852,33.469,1.4846,0.0012768
5.7938,33.568,1.4847,0.0012712
5.8023,33.667,1.4848,0.0012656
5.8109,33.766,1.485,0.0012601
5.8194,33.865,1.4851,0.0012546
5.8279,33.964,1.4852,0.0012492
5.8364,34.063,1.4853,0.0012438
5.8449,34.162,1.4855,0.0012384
5.8533,34.261,1.4856,0.0012331
5.8618,34.36,1.4857,0.0012278
5.8702,34.46,1.4858,0.0012226
5.8787,34.559,1.4859,0.0012173
5.8871,34.658,1.4861,0.0012122
5.8955,34.757,1.4862,0.001207
5.9039,34.856,1.4863,0.0012019
5.9123,34.955,1.4864,0.0011968
5.9206,35.054,1.4865,0.0011918
5.929,35.153,1.4867,0.0011868
5.9373,35.252,1.4868,0.0011818
5.9457,35.351,1.4869,0.0011769
5.954,35.45,1.487,0.001172
5.9623,35.549,1.4871,0.0011672
5.9706,35.648,1.4872,0.0011623
5.9789,35.747,1.4874,0.0011575
5.9872,35.846,1.4875,0.0011528
5.9955,35.945,1.4876,0.001148
6.0037,36.045,1.4877,0.0011433
6.012,36.144,1.4878,0.0011387
6.0202,36.243,1.4879,0.001134
6.0284,36.342,1.488,0.0011294
6.0366,36.441,1.4882,0.0011249
6.0448,36.54,1.4883,0.0011203
6.053,36.639,1.4884,0.0011158
6.0612,36.738,1.4885,0.0011113
6.0694,36.837,1.4886,0.0011069
6.0775,36.936,1.4887,0.0011025
6.0857,37.035,1.4888,0.0010981
6.0938,37.134,1.4889,0.0010937
6.1019,37.233,1.489,0.0010894
6.11,37.332,1.4891,0.0010851
6.1181,37.431,1.4893,0.0010808
6.1262,37.53,1.4894,0.0010766
6.1343,37.63,1.4895,0.0010723
6.1424,37.729,1.4896,0.0010681
6.1504,37.828,1.4897,0.001064
6.1585,37.927,1.4898,0.0010598
6.1665,38.026,1.4899,0.0010557
6.1745,38.125,1.49,0.0010516
6.1825,38.224,1.4901,0.0010476
6.1906,38.323,1.4902,0.0010436
6.1985,38.422,1.4903,0.0010395
6.2065,38.521,1.4904,0.0010356
6.2145,38.62,1.4905,0.0010316
6.2225,38.719,1.4906,0.0010277
6.2304,38.818,1.4907,0.0010238
6.2384,38.917,1.4908,0.0010199
6.2463,39.016,1.4909,0.001016
6.2542,39.115,1.491,0.0010122
6.2621,39.215,1.4911,0.0010084
6.2701,39.314,1.4912,0.0010046
6.2779,39.413,1.4913,0.0010008
6.2858,39.512,1.4914,0.00099711
6.2937,39.611,1.4915,0.00099339
6.3016,39.71,1.4916,0.0009897
6.3094,39.809,1.4917,0.00098603
6.3173,39.908,1.4918,0.00098239
6.3251,40.007,1.4919,0.00097876
6.3329,40.106,1.492,0.00097516
6.3408,40.205,1.4921,0.00097158
6.3486,40.304,1.4922,0.00096802
6.3564,40.403,1.4923,0.00096449
6.3641,40.502,1.4924,0.00096097
6.3719,40.601,1.4925,0.00095748
6.3797,40.7,1.4926,0.00095401
6.3874,40.8,1.4927,0.00095056
6.3952,40.899,1.4928,0.00094713
6.4029,40.998,1.4929,0.00094372
6.4107,41.097,1.493,0.00094033
6.4184,41.196,1.4931,0.00093696
6.4261,41.295,1.4931,0.00093361
6.4338,41.394,1.4932,0.00093028
6.4415,41.493,1.4933,0.00092697
6.4492,41.592,1.4934,0.00092368
6.4569,41.691,1.4935,0.00092041
6.4645,41.79,1.4936,0.00091716
6.4722,41.889,1.4937,0.00091393
6.4798,41.988,1.4938,0.00091071
6.4875,42.087,1.4939,0.00090752
6.4951,42.186,1.494,0.00090434
6.5027,42.285,1.4941,0.00090118
6.5103,42.385,1.4941,0.00089805
6.5179,42.484,1.4942,0.00089492
6.5255,42.583,1.4943,0.00089182
6.5331,42.682,1.4944,0.00088874
6.5407,42.781,1.4945,0.00088567
6.5483,42.88,1.4946,0.00088262
6.5558,42.979,1.4947,0.00087959
6.5634,43.078,1.4948,0.00087657
6.5709,43.177,1.4948,0.00087357
6.5785,43.276,1.4949,0.00087059
6.586,43.375,1.495,0.00086763
6.5935,43.474,1.4951,0.00086468
6.601,43.573,1.4952,0.00086175
6.6085,43.672,1.4953,0.00085884
6.616,43.771,1.4954,0.00085594
6.6235,43.87,1.4955,0.00085306
6.631,43.97,1.4955,0.0008502
6.6384,44.069,1.4956,0.00084735
6.6459,44.168,1.4957,0.00084451
6.6533,44.267,1.4958,0.0008417
6.6608,44.366,1.4959,0.0008389
6.6682,44.465,1.496,0.00083611
6.6756,44.564,1.496,0.00083334
6.683,44.663,1.4961,0.00083058
6.6904,44.762,1.4962,0.00082784
6.6978,44.861,1.4963,0.00082512
6.7052,44.96,1.4964,0.00082241
6.7126,45.059,1.4964,0.00081971
6.72,45.158,1.4965,0.00081703
6.7274,45.257,1.4966,0.00081436
6.7347,45.356,1.4967,0.00081171
6.7421,45.455,1.4968,0.00080907
6.7494,45.555,1.4969,0.00080645
6.7567,45.654,1.4969,0.00080384
6.7641,45.753,1.497,0.00080125
6.7714,45.852,1.4971,0.00079867
6.7787,45.951,1.4972,0.0007961
6.786,46.05,1.4972,0.00079354
6.7933,46.149,1.4973,0.000791
6.8006,46.248,1.4974,0.00078848
6.8079,46.347,1.4975,0.00078596
6.8151,46.446,1.4976,0.00078346
6.8224,46.545,1.4976,0.00078098
6.8297,46.644,1.4977,0.00077851
6.8369,46.743,1.4978,0.00077604
6.8441,46.842,1.4979,0.0007736
6.8514,46.941,1.4979,0.00077116
6.8586,47.04,1.498,0.00076874
6.8658,47.14,1.4981,0.00076633
6.873,47.239,1.4982,0.00076394
6.8802,47.338,1.4983,0.00076155
6.8874,47.437,1.4983,0.00075918
6.8946,47.536,1.4984,0.00075682
6.9018,47.635,1.4985,0.00075447
6.909,47.734,1.4986,0.00075214
6.9161,47.833,1.4986,0.00074981
6.9233,47.932,1.4987,0.0007475
6.9304,48.031,1.4988,0.0007452
6.9376,48.13,1.4988,0.00074292
6.9447,48.229,1.4989,0.00074064
6.9519,48.328,1.499,0.00073838
6.959,48.427,1.4991,0.00073612
6.9661,48.526,1.4991,0.00073388
6.9732,48.625,1.4992,0.00073165
6.9803,48.724,1.4993,0.00072943
6.9874,48.824,1.4994,0.00072722
